sample, loss, baseline, augmentation, metric,obamacare,gay-marriage,drug-policy,corporate-tax,climate-change
bigram_inner,mlm,trust,duplicate,cluster_performance,4.22,4.64,4.26,5.48,6.12
bigram_inner,mlm,trust,duplicate,allsides_rank_similarity,0.39,0.19,0.3,0.31,0.13
bigram_inner,mlm,trust,duplicate,pew_rank_similarity,0.31,0.18,0.22,0.28,0.16
bigram_inner,mlm,trust,sentence_replacement,cluster_performance,3.64,4.23,5.48,6.2
bigram_inner,mlm,trust,sentence_replacement,allsides_rank_similarity,0.41,0.26,0.26,0.09
bigram_inner,mlm,trust,sentence_replacement,pew_rank_similarity,0.34,0.25,0.22,0.1
bigram_inner,mlm,trust,sentence_order_replacement,cluster_performance,5.25,6.22,4.57,4.15,6.06
bigram_inner,mlm,trust,sentence_order_replacement,allsides_rank_similarity,0.41,0.18,0.26,0.27,0.1
bigram_inner,mlm,trust,sentence_order_replacement,pew_rank_similarity,0.36,0.2,0.17,0.22,0.16
bigram_inner,mlm,trust,span_cutoff,cluster_performance,4.85,4.66,4.09,4.34,5.43
bigram_inner,mlm,trust,span_cutoff,allsides_rank_similarity,0.42,0.23,0.3,0.3,0.11
bigram_inner,mlm,trust,span_cutoff,pew_rank_similarity,0.31,0.2,0.21,0.24,0.12
bigram_inner,mlm,trust,no_augmentation,cluster_performance,5.54,4.57,4.04,3.99,5.86
bigram_inner,mlm,trust,no_augmentation,allsides_rank_similarity,0.38,0.12,0.26,0.23,0.12
bigram_inner,mlm,trust,no_augmentation,pew_rank_similarity,0.27,0.17,0.22,0.28,0.16
bigram_inner,mlm,trust,word_order_replacement,cluster_performance,5.25,4.66,4.73,4.35,5.81
bigram_inner,mlm,trust,word_order_replacement,allsides_rank_similarity,0.35,0.15,0.22,0.23,0.08
bigram_inner,mlm,trust,word_order_replacement,pew_rank_similarity,0.28,0.18,0.15,0.18,0.06
bigram_inner,mlm,trust,word_replacement,cluster_performance,4.65,4.68,4.36,4.72,5.42
bigram_inner,mlm,trust,word_replacement,allsides_rank_similarity,0.43,0.21,0.27,0.26,0.1
bigram_inner,mlm,trust,word_replacement,pew_rank_similarity,0.35,0.21,0.2,0.26,0.15
bigram_inner,mlm,source,sentence_replacement,cluster_performance,3.58,4.4,5.65,6.26
bigram_inner,mlm,source,sentence_replacement,allsides_rank_similarity,0.41,0.26,0.26,0.09
bigram_inner,mlm,source,sentence_replacement,pew_rank_similarity,0.39,0.25,0.24,0.08
bigram_inner,mlm,source,span_cutoff,cluster_performance,4.85,4.78,4.18,4.43,5.59
bigram_inner,mlm,source,span_cutoff,allsides_rank_similarity,0.42,0.23,0.3,0.3,0.11
bigram_inner,mlm,source,span_cutoff,pew_rank_similarity,0.35,0.22,0.2,0.26,0.08
bigram_inner,mlm,source,no_augmentation,cluster_performance,5.53,4.69,4.15,4.14,5.94
bigram_inner,mlm,source,no_augmentation,allsides_rank_similarity,0.38,0.12,0.26,0.23,0.12
bigram_inner,mlm,source,no_augmentation,pew_rank_similarity,0.28,0.16,0.24,0.27,0.12
bigram_inner,mlm,source,duplicate,cluster_performance,4.22,4.76,4.35,5.65,6.21
bigram_inner,mlm,source,duplicate,allsides_rank_similarity,0.39,0.19,0.3,0.31,0.13
bigram_inner,mlm,source,duplicate,pew_rank_similarity,0.33,0.19,0.23,0.28,0.12
bigram_inner,mlm,source,word_replacement,cluster_performance,4.66,4.81,4.44,4.85,5.59
bigram_inner,mlm,source,word_replacement,allsides_rank_similarity,0.43,0.21,0.27,0.26,0.1
bigram_inner,mlm,source,word_replacement,pew_rank_similarity,0.36,0.2,0.2,0.28,0.13
bigram_inner,mlm,source,sentence_order_replacement,cluster_performance,5.26,6.41,4.68,4.33,6.22
bigram_inner,mlm,source,sentence_order_replacement,allsides_rank_similarity,0.41,0.18,0.26,0.27,0.1
bigram_inner,mlm,source,sentence_order_replacement,pew_rank_similarity,0.38,0.17,0.19,0.22,0.13
bigram_inner,mlm,source,word_order_replacement,cluster_performance,5.26,4.86,4.78,4.35,5.88
bigram_inner,mlm,source,word_order_replacement,allsides_rank_similarity,0.35,0.15,0.22,0.23,0.08
bigram_inner,mlm,source,word_order_replacement,pew_rank_similarity,0.3,0.2,0.17,0.19,0.07
bigram_inner,mlm_cosdist,trust,span_cutoff,cluster_performance,5.3,5.77,4.57,4.72,6.61
bigram_inner,mlm_cosdist,trust,span_cutoff,allsides_rank_similarity,0.41,0.16,0.25,0.32,0.04
bigram_inner,mlm_cosdist,trust,span_cutoff,pew_rank_similarity,0.32,0.15,0.16,0.26,0.08
bigram_inner,mlm_cosdist,trust,word_order_replacement,cluster_performance,4.83,4.64,4.46,4.15,5.93
bigram_inner,mlm_cosdist,trust,word_order_replacement,allsides_rank_similarity,0.43,0.2,0.26,0.28,0.07
