bert
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.61,0,0,,no_augmentation,5.62,0,0,,no_augmentation,0.31,0,0
duplicate,3.83,0,0,,duplicate,3.84,0,0,,duplicate,0.38,0,0
sentence_order_replacement,5.33,2.88,2.88,,sentence_order_replacement,5.34,2.82,2.82,,sentence_order_replacement,0.35,0.41,0.42
span_cutoff,5.38,6.52,2.88,,span_cutoff,5.4,6.53,2.82,,span_cutoff,0.4,0.38,0.39
word_order_replacement,5.61,6.52,6.52,,word_order_replacement,5.62,6.53,6.53,,word_order_replacement,0.31,0.33,0.33
word_replacement,5.15,3.38,5.02,,word_replacement,5.16,3.38,5.05,,word_replacement,0.36,0.4,0.36
sentence_replacement,3.38,2.88,5.33,,sentence_replacement,3.34,2.82,5.34,,sentence_replacement,0.37,0.39,0.36


random
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.56,0,0,,no_augmentation,5.57,0,0,,no_augmentation,0.3,0,0
duplicate,4.84,0,0,,duplicate,4.83,0,0,,duplicate,0.32,0,0
sentence_order_replacement,5.26,5.3,5.3,,sentence_order_replacement,5.26,5.31,5.31,,sentence_order_replacement,0.4,0.42,0.39
span_cutoff,4.81,5.26,5.26,,span_cutoff,4.81,5.26,5.26,,span_cutoff,0.38,0.41,0.35
word_order_replacement,5.3,5.26,5.3,,word_order_replacement,5.31,5.26,5.31,,word_order_replacement,0.35,0.38,0.4
word_replacement,3.68,2.82,5.3,,word_replacement,3.78,2.76,5.31,,word_replacement,0.39,0.38,0.4
sentence_replacement,5.26,5.26,5.3,,sentence_replacement,5.26,5.26,5.31,,sentence_replacement,0.35,0.38,0.38


bigram_inner
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,5.54,0,0,,no_augmentation,5.53,0,0,,no_augmentation,0.38,0,0
duplicate,4.22,0,0,,duplicate,4.22,0,0,,duplicate,0.39,0,0
sentence_order_replacement,5.25,5.3,5.25,,sentence_order_replacement,5.26,5.31,5.26,,sentence_order_replacement,0.41,0.44,0.42
span_cutoff,4.85,5.3,5.16,,span_cutoff,4.85,5.31,5.16,,span_cutoff,0.42,0.41,0.41
word_order_replacement,5.25,4.83,4.78,,word_order_replacement,5.26,4.84,4.78,,word_order_replacement,0.35,0.43,0.42
word_replacement,4.65,4.2,4.83,,word_replacement,4.66,4.2,4.84,,word_replacement,0.43,0.38,0.4
sentence_replacement,3.64,4.81,4.98,,sentence_replacement,3.58,4.81,4.98,,sentence_replacement,0.41,0.42,0.45


bigram_outer
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,6.0,0,0,,no_augmentation,6.11,0,0,,no_augmentation,0.31,0,0
duplicate,5.54,0,0,,duplicate,5.54,0,0,,duplicate,0.42,0,0
sentence_order_replacement,3.78,5.48,5.45,,sentence_order_replacement,3.77,5.67,5.45,,sentence_order_replacement,0.44,0.41,0.43
span_cutoff,5.23,4.29,5.36,,span_cutoff,5.23,4.28,5.35,,span_cutoff,0.37,0.4,0.35
word_order_replacement,5.22,4.84,4.69,,word_order_replacement,5.22,4.84,4.69,,word_order_replacement,0.34,0.38,0.35
word_replacement,5.92,4.02,2.8,,word_replacement,5.72,3.93,2.91,,word_replacement,0.39,0.36,0.4
sentence_replacement,2.65,3.38,2.87,,sentence_replacement,2.72,3.29,2.82,,sentence_replacement,0.4,0.42,0.44


trigram_inner
Trust,,,,,Source,,,,,Bias,,,,,
,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon,,,mlm,mlm_cos,mlm_supercon
no_augmentation,6.0,0,0,,no_augmentation,6.15,0,0,,no_augmentation,0.31,0,0
duplicate,3.65,0,0,,duplicate,3.65,0,0,,duplicate,0.26,0,0
sentence_order_replacement,5.4,4.28,4.57,,sentence_order_replacement,5.4,4.28,4.57,,sentence_order_replacement,0.3,0.33,0.34
span_cutoff,4.27,4.84,3.81,,span_cutoff,4.27,4.84,3.82,,span_cutoff,0.34,0.34,0.33
word_order_replacement,5.05,5.06,5.62,,word_order_replacement,5.05,5.07,5.61,,word_order_replacement,0.27,0.35,0.34
word_replacement,5.41,4.28,3.6,,word_replacement,5.4,4.28,3.6,,word_replacement,0.34,0.31,0.33
sentence_replacement,4.81,3.6,3.59,,sentence_replacement,4.81,3.6,3.6,,sentence_replacement,0.34,0.32,0.37


